participant_id;nama_peserta;jenis_pelatihan;durasi_pelatihan;kehadiran (%);nilai_ujian;status_kelulusan;produktivitas_setelah_pelatihan;tanggal_mulai;tanggal_selesai;lama_pelatihan_hari;tahun;bulan
PART-00027;Hj. Intan Megantara, M.TI.;Konstruksi;160;91;92;Lulus;86;2024-11-09;2024-11-29;21;2024;November
PART-00028;Salimah Pradipta;Manufaktur;160;84;69;Tidak Lulus;67;2025-01-18;2025-02-07;21;2025;January
PART-00029;Ir. Talia Adriansyah, S.I.Kom;Kesehatan;240;91;51;Tidak Lulus;59;2024-04-08;2024-05-08;31;2024;April
PART-00030;R.M. Among Rahayu;Pertanian;160;76;58;Tidak Lulus;52;2024-03-23;2024-04-12;21;2024;March
PART-00031;Nrima Firmansyah;Desain Grafis;200;71;79;Tidak Lulus;72;2025-06-22;2025-07-17;26;2025;June
PART-00032;drg. Usyi Wibisono;Kesehatan;200;93;51;Tidak Lulus;62;2024-10-29;2024-11-23;26;2024;October
PART-00033;Ir. Cemeti Sitompul, S.Farm;Manufaktur;160;87;78;Lulus;79;2024-10-18;2024-11-07;21;2024;October
PART-00034;dr. Bakijan Ardianto, S.Sos;Konstruksi;120;83;58;Tidak Lulus;71;2024-12-10;2024-12-25;16;2024;December
PART-00035;Rusman Agustina;Manufaktur;240;77;51;Tidak Lulus;53;2025-07-07;2025-08-06;31;2025;July
PART-00036;Hj. Vivi Prasetyo, S.Psi;Pariwisata;120;89;48;Tidak Lulus;52;2024-10-06;2024-10-21;16;2024;October
PART-00037;Humaira Novitasari;Manufaktur;160;91;63;Tidak Lulus;54;2024-04-03;2024-04-23;21;2024;April
PART-00038;Mala Budiman;Kesehatan;240;87;45;Tidak Lulus;54;2025-03-25;2025-04-24;31;2025;March
PART-00039;R.M. Marwata Dabukke;Konstruksi;80;83;84;Lulus;76;2024-10-30;2024-11-09;11;2024;October
PART-00040;Vera Nasyidah;Kesehatan;240;90;48;Tidak Lulus;50;2025-08-13;2025-09-12;31;2025;August
PART-00041;Hj. Ratna Sitorus;Desain Grafis;160;96;53;Tidak Lulus;68;2024-10-16;2024-11-05;21;2024;October
PART-00042;Oman Dongoran;Desain Grafis;120;90;97;Lulus;98;2025-10-27;2025-11-11;16;2025;October
PART-00043;Daliman Gunarto, M.M.;Desain Grafis;120;92;98;Lulus;100;2025-09-12;2025-09-27;16;2025;September
PART-00044;Icha Aryani;Konstruksi;200;73;61;Tidak Lulus;52;2024-08-26;2024-09-20;26;2024;August
PART-00045;Yusuf Hassanah;Kesehatan;240;100;84;Lulus;78;2023-11-13;2023-12-13;31;2023;November
PART-00046;Jati Mustofa;Kesehatan;240;88;88;Lulus;82;2024-09-12;2024-10-12;31;2024;September
PART-00047;Novi Wijaya;Tataboga;40;89;62;Tidak Lulus;70;2025-10-08;2025-10-13;6;2025;October
PART-00048;Oskar Permata, S.Pt;Desain Grafis;120;77;57;Tidak Lulus;61;2023-12-06;2023-12-21;16;2023;December
PART-00049;Ir. Vero Suryono;Tataboga;120;93;55;Tidak Lulus;60;2024-01-29;2024-02-13;16;2024;January
PART-00050;Ina Natsir, M.TI.;Teknologi Informasi;40;82;79;Lulus;82;2023-12-13;2023-12-18;6;2023;December
PART-00051;Violet Puspasari;Pariwisata;160;73;77;Tidak Lulus;62;2024-07-24;2024-08-13;21;2024;July
PART-00052;Olivia Rajasa, M.TI.;Teknologi Informasi;240;90;45;Tidak Lulus;54;2023-12-21;2024-01-20;31;2023;December
PART-00053;Joko Mansur;Konstruksi;160;87;97;Lulus;83;2025-04-01;2025-04-21;21;2025;April
PART-00054;Iriana Maryadi, M.TI.;Tataboga;200;92;88;Lulus;92;2023-12-10;2024-01-04;26;2023;December
PART-00055;Marsito Suryatmi;Desain Grafis;200;77;87;Tidak Lulus;60;2023-12-16;2024-01-10;26;2023;December
PART-00056;Nurul Suwarno;Manufaktur;40;93;59;Tidak Lulus;66;2025-01-29;2025-02-03;6;2025;January
PART-00057;KH. Nyoman Latupono;Pertanian;160;95;58;Tidak Lulus;52;2023-12-03;2023-12-23;21;2023;December
PART-00058;Puti Clara Thamrin;Manufaktur;40;71;93;Tidak Lulus;54;2025-06-21;2025-06-26;6;2025;June
PART-00059;Vivi Siregar;Tataboga;80;92;92;Lulus;87;2025-06-13;2025-06-23;11;2025;June
PART-00060;Ratih Megantara, M.TI.;Tataboga;160;89;82;Lulus;75;2024-11-01;2024-11-21;21;2024;November
PART-00061;Jumadi Nasyiah;Kesehatan;200;72;53;Tidak Lulus;62;2024-10-10;2024-11-04;26;2024;October
PART-00062;Dt. Among Puspita, S.IP;Manufaktur;200;80;71;Lulus;94;2025-01-14;2025-02-08;26;2025;January
PART-00063;Aris Hardiansyah;Pariwisata;240;79;77;Tidak Lulus;50;2025-10-15;2025-11-14;31;2025;October
PART-00064;Lidya Lailasari;Kesehatan;200;74;75;Tidak Lulus;52;2024-01-29;2024-02-23;26;2024;January
PART-00065;Nasim Sitorus;Manufaktur;160;90;69;Tidak Lulus;55;2024-06-12;2024-07-02;21;2024;June
PART-00066;Pranawa Mangunsong, S.Pt;Pariwisata;240;93;82;Lulus;81;2025-10-21;2025-11-20;31;2025;October
PART-00067;R.M. Garan Hastuti;Teknologi Informasi;240;72;77;Tidak Lulus;52;2025-08-25;2025-09-24;31;2025;August
PART-00068;Hasna Rahmawati;Teknologi Informasi;80;99;76;Lulus;83;2024-04-02;2024-04-12;11;2024;April
PART-00069;KH. Darmana Usada;Desain Grafis;200;89;68;Tidak Lulus;56;2024-10-24;2024-11-18;26;2024;October
PART-00070;Ivan Jailani, S.E.I;Desain Grafis;40;83;55;Tidak Lulus;52;2024-07-29;2024-08-03;6;2024;July
PART-00071;Amalia Santoso;Manufaktur;120;87;77;Lulus;82;2024-12-21;2025-01-05;16;2024;December
PART-00072;Dr. Kuncara Sitompul;Konstruksi;160;85;87;Lulus;86;2024-10-14;2024-11-03;21;2024;October
PART-00073;Drs. Oskar Hasanah;Kesehatan;200;72;72;Tidak Lulus;58;2024-11-22;2024-12-17;26;2024;November
PART-00074;Daru Januar;Manufaktur;40;95;74;Lulus;92;2024-06-10;2024-06-15;6;2024;June
PART-00075;Putri Hartati, S.T.;Tataboga;240;94;94;Lulus;86;2025-03-24;2025-04-23;31;2025;March
PART-00076;Pangestu Astuti;Pertanian;160;89;56;Tidak Lulus;66;2024-11-16;2024-12-06;21;2024;November
PART-00077;Ajimat Hutagalung;Pariwisata;80;97;46;Tidak Lulus;67;2024-11-19;2024-11-29;11;2024;November
PART-00078;Limar Rajasa;Desain Grafis;160;77;65;Tidak Lulus;65;2024-11-03;2024-11-23;21;2024;November
PART-00079;Lili Melani;Tataboga;160;78;85;Tidak Lulus;50;2025-02-08;2025-02-28;21;2025;February
PART-00080;Belinda Utami;Manufaktur;80;88;79;Lulus;75;2023-11-16;2023-11-26;11;2023;November
PART-00081;Wahyu Permadi;Pariwisata;40;85;85;Lulus;97;2025-03-09;2025-03-14;6;2025;March
PART-00082;Nasab Laksita, M.Kom.;Kesehatan;240;99;60;Tidak Lulus;51;2025-10-20;2025-11-19;31;2025;October
PART-00083;Puji Haryanto;Pariwisata;80;70;91;Tidak Lulus;63;2025-08-20;2025-08-30;11;2025;August
PART-00084;Endah Novitasari, S.Farm;Tataboga;40;83;74;Lulus;98;2025-03-30;2025-04-04;6;2025;March
PART-00085;Tami Jailani;Teknologi Informasi;200;77;68;Tidak Lulus;57;2024-01-23;2024-02-17;26;2024;January
PART-00086;Dalima Marbun, S.E.I;Tataboga;200;98;48;Tidak Lulus;68;2024-10-22;2024-11-16;26;2024;October
PART-00087;Dr. Zamira Prayoga;Kesehatan;240;73;64;Tidak Lulus;65;2024-10-10;2024-11-09;31;2024;October
PART-00088;Samiah Purwanti;Desain Grafis;200;97;59;Tidak Lulus;58;2024-08-07;2024-09-01;26;2024;August
PART-00089;drg. Mitra Pangestu, S.Sos;Pariwisata;160;74;45;Tidak Lulus;72;2024-10-27;2024-11-16;21;2024;October
PART-00090;Tina Haryanto;Konstruksi;160;97;50;Tidak Lulus;62;2023-12-11;2023-12-31;21;2023;December
PART-00091;Kiandra Maulana;Tataboga;200;77;60;Tidak Lulus;64;2025-06-03;2025-06-28;26;2025;June
PART-00092;Cut Rika Firmansyah;Desain Grafis;120;95;52;Tidak Lulus;66;2024-09-25;2024-10-10;16;2024;September
PART-00093;Ir. Abyasa Pangestu;Kesehatan;240;77;94;Tidak Lulus;58;2025-04-21;2025-05-21;31;2025;April
PART-00094;Maryanto Lazuardi;Teknologi Informasi;200;74;81;Tidak Lulus;59;2024-04-27;2024-05-22;26;2024;April
PART-00095;Himawan Hidayat;Manufaktur;40;91;87;Lulus;91;2025-09-17;2025-09-22;6;2025;September
PART-00096;dr. Cinthia Tarihoran, M.Ak;Teknologi Informasi;200;75;97;Tidak Lulus;72;2025-07-15;2025-08-09;26;2025;July
PART-00097;Puput Situmorang, S.Farm;Tataboga;160;89;54;Tidak Lulus;65;2024-12-07;2024-12-27;21;2024;December
PART-00098;Jaya Wasita;Kesehatan;80;90;46;Tidak Lulus;59;2025-03-24;2025-04-03;11;2025;March
PART-00099;Nurul Permata, S.E.I;Manufaktur;80;79;99;Tidak Lulus;65;2024-05-18;2024-05-28;11;2024;May
PART-00100;Jaeman Anggraini;Pariwisata;200;80;89;Lulus;82;2023-11-19;2023-12-14;26;2023;November
PART-00101;Halima Nashiruddin;Pariwisata;240;87;100;Lulus;86;2024-04-16;2024-05-16;31;2024;April
PART-00102;Ir. Tiara Iswahyudi, M.M.;Pariwisata;200;76;60;Tidak Lulus;71;2024-11-08;2024-12-03;26;2024;November
PART-00103;Diana Winarno;Teknologi Informasi;40;82;47;Tidak Lulus;63;2024-01-20;2024-01-25;6;2024;January
PART-00104;Zulaikha Hariyah;Teknologi Informasi;200;71;99;Tidak Lulus;57;2024-05-21;2024-06-15;26;2024;May
PART-00105;Dt. Prabu Uyainah, S.Pt;Teknologi Informasi;80;86;66;Tidak Lulus;54;2023-11-27;2023-12-07;11;2023;November
PART-00106;Salwa Usamah;Pariwisata;80;84;99;Lulus;81;2024-01-06;2024-01-16;11;2024;January
PART-00107;Gabriella Yuliarti;Desain Grafis;80;98;48;Tidak Lulus;57;2024-06-07;2024-06-17;11;2024;June
PART-00108;Cut Oni Padmasari;Tataboga;120;98;54;Tidak Lulus;61;2025-04-17;2025-05-02;16;2025;April
PART-00109;Nova Pertiwi;Teknologi Informasi;40;93;91;Lulus;75;2025-02-10;2025-02-15;6;2025;February
PART-00110;dr. Wani Zulaika;Teknologi Informasi;160;95;80;Lulus;88;2025-01-02;2025-01-22;21;2025;January
PART-00111;Lukman Fujiati, S.Psi;Konstruksi;160;78;45;Tidak Lulus;68;2024-01-12;2024-02-01;21;2024;January
PART-00112;KH. Kenzie Prabowo;Konstruksi;160;72;92;Tidak Lulus;74;2024-07-18;2024-08-07;21;2024;July
PART-00113;Eli Manullang;Teknologi Informasi;160;73;48;Tidak Lulus;62;2024-07-05;2024-07-25;21;2024;July
PART-00114;Vanesa Fujiati;Teknologi Informasi;240;89;84;Lulus;91;2025-09-25;2025-10-25;31;2025;September
PART-00115;Ir. Suci Nashiruddin, S.E.I;Manufaktur;160;99;87;Lulus;98;2024-06-27;2024-07-17;21;2024;June
PART-00116;Padmi Sihombing;Kesehatan;120;88;83;Lulus;86;2024-03-09;2024-03-24;16;2024;March
PART-00117;R. Praba Maryati;Pariwisata;200;100;48;Tidak Lulus;52;2025-09-18;2025-10-13;26;2025;September
PART-00118;Drs. Paiman Sitompul;Teknologi Informasi;40;91;87;Lulus;97;2024-11-21;2024-11-26;6;2024;November
PART-00119;Rahmi Prabowo;Konstruksi;40;82;98;Lulus;92;2025-08-08;2025-08-13;6;2025;August
PART-00120;Wardi Wacana, S.E.I;Manufaktur;160;93;77;Lulus;94;2024-06-18;2024-07-08;21;2024;June
PART-00121;drg. Rahman Thamrin, M.Ak;Desain Grafis;40;82;64;Tidak Lulus;55;2023-11-25;2023-11-30;6;2023;November
PART-00122;Nadine Puspasari;Tataboga;80;80;45;Tidak Lulus;63;2024-11-24;2024-12-04;11;2024;November
PART-00123;Aurora Hidayat;Tataboga;240;93;63;Tidak Lulus;57;2024-09-02;2024-10-02;31;2024;September
PART-00124;Azalea Halimah, S.Gz;Desain Grafis;80;85;75;Lulus;89;2024-11-29;2024-12-09;11;2024;November
PART-00125;Kiandra Mahendra, S.I.Kom;Teknologi Informasi;120;80;93;Lulus;79;2025-11-04;2025-11-19;16;2025;November
PART-00126;Dinda Thamrin;Tataboga;120;92;67;Tidak Lulus;63;2025-11-07;2025-11-22;16;2025;November
PART-00127;Gandi Kuswoyo;Teknologi Informasi;160;71;81;Tidak Lulus;59;2024-11-26;2024-12-16;21;2024;November
PART-00128;Janet Wahyudin;Desain Grafis;200;98;85;Lulus;97;2025-06-29;2025-07-24;26;2025;June
PART-00129;Gambira Wahyuni;Teknologi Informasi;40;81;52;Tidak Lulus;65;2024-10-27;2024-11-01;6;2024;October
PART-00130;Tgk. Violet Sihombing;Desain Grafis;120;72;50;Tidak Lulus;53;2024-01-28;2024-02-12;16;2024;January
PART-00131;Almira Jailani, M.Kom.;Desain Grafis;40;78;77;Tidak Lulus;69;2025-01-07;2025-01-12;6;2025;January
PART-00132;Melinda Purwanti;Desain Grafis;200;70;91;Tidak Lulus;53;2024-08-07;2024-09-01;26;2024;August
PART-00133;Hardi Simanjuntak;Pariwisata;40;99;75;Lulus;75;2024-07-05;2024-07-10;6;2024;July
PART-00134;Olivia Simanjuntak;Desain Grafis;120;96;88;Lulus;91;2025-09-10;2025-09-25;16;2025;September
PART-00135;Dwi Maryadi, S.Ked;Kesehatan;80;70;52;Tidak Lulus;55;2024-04-01;2024-04-11;11;2024;April
PART-00136;Langgeng Nurdiyanti;Konstruksi;200;88;87;Lulus;82;2025-06-17;2025-07-12;26;2025;June
PART-00137;Lega Rajasa;Desain Grafis;40;80;61;Tidak Lulus;66;2025-05-17;2025-05-22;6;2025;May
PART-00138;Nadia Kusumo;Tataboga;240;84;91;Lulus;87;2024-01-14;2024-02-13;31;2024;January
PART-00139;Fathonah Pertiwi;Konstruksi;80;76;75;Tidak Lulus;69;2024-02-21;2024-03-02;11;2024;February
PART-00140;Hesti Sihotang;Kesehatan;40;91;57;Tidak Lulus;54;2024-10-25;2024-10-30;6;2024;October
PART-00141;Mustika Damanik, S.Pd;Manufaktur;40;73;100;Tidak Lulus;53;2024-03-08;2024-03-13;6;2024;March
PART-00142;R. Gaiman Prastuti, M.Pd;Konstruksi;80;94;76;Lulus;79;2025-07-04;2025-07-14;11;2025;July
PART-00143;Eka Habibi;Pertanian;80;86;46;Tidak Lulus;54;2023-11-18;2023-11-28;11;2023;November
PART-00144;Maya Lazuardi;Manufaktur;40;74;52;Tidak Lulus;56;2024-09-18;2024-09-23;6;2024;September
PART-00145;R. Gada Nugroho, S.E.I;Tataboga;160;80;70;Lulus;96;2025-07-20;2025-08-09;21;2025;July
PART-00146;drg. Zelaya Hastuti, S.Pd;Tataboga;160;75;67;Tidak Lulus;52;2025-08-05;2025-08-25;21;2025;August
PART-00147;Novi Setiawan, S.H.;Pariwisata;80;92;48;Tidak Lulus;51;2025-10-05;2025-10-15;11;2025;October
PART-00148;Darimin Halim;Teknologi Informasi;240;79;55;Tidak Lulus;69;2024-06-06;2024-07-06;31;2024;June
PART-00149;Novi Hastuti;Pertanian;200;100;96;Lulus;80;2024-02-23;2024-03-19;26;2024;February
PART-00150;H. Estiawan Sirait;Desain Grafis;200;89;61;Tidak Lulus;57;2024-03-24;2024-04-18;26;2024;March
PART-00151;Dt. Adhiarja Farida;Pertanian;240;88;51;Tidak Lulus;70;2025-06-07;2025-07-07;31;2025;June
PART-00152;dr. Maryanto Budiyanto, S.Psi;Manufaktur;240;79;53;Tidak Lulus;68;2024-10-30;2024-11-29;31;2024;October
PART-00153;Jaka Marbun;Desain Grafis;160;70;95;Tidak Lulus;57;2025-02-15;2025-03-07;21;2025;February
PART-00154;Setya Permadi;Pariwisata;80;90;46;Tidak Lulus;62;2024-06-16;2024-06-26;11;2024;June
PART-00155;Cahyanto Hastuti;Desain Grafis;80;92;61;Tidak Lulus;64;2024-05-10;2024-05-20;11;2024;May
PART-00156;Panji Oktaviani;Desain Grafis;200;97;85;Lulus;100;2024-11-08;2024-12-03;26;2024;November
PART-00157;Galiono Gunarto;Konstruksi;80;96;54;Tidak Lulus;51;2024-06-01;2024-06-11;11;2024;June
PART-00158;Leo Namaga;Pertanian;40;91;90;Lulus;90;2024-12-26;2024-12-31;6;2024;December
PART-00159;Mursita Habibi, M.M.;Pertanian;120;85;89;Lulus;78;2023-11-09;2023-11-24;16;2023;November
PART-00160;Kezia Firgantoro;Pariwisata;240;74;67;Tidak Lulus;54;2024-08-06;2024-09-05;31;2024;August
PART-00161;Martana Laksmiwati, S.Pd;Kesehatan;200;70;49;Tidak Lulus;64;2025-03-27;2025-04-21;26;2025;March
PART-00162;Johan Uwais;Desain Grafis;80;89;81;Lulus;86;2023-12-20;2023-12-30;11;2023;December
PART-00163;Ira Mandala;Konstruksi;80;91;99;Lulus;77;2025-06-18;2025-06-28;11;2025;June
PART-00164;Julia Ardianto;Manufaktur;160;89;78;Lulus;79;2025-05-13;2025-06-02;21;2025;May
PART-00165;Cut Malika Nainggolan, S.IP;Manufaktur;200;74;72;Tidak Lulus;55;2024-11-03;2024-11-28;26;2024;November
PART-00166;T. Dadap Prayoga;Konstruksi;80;78;52;Tidak Lulus;72;2025-07-08;2025-07-18;11;2025;July
PART-00167;drg. Najwa Marpaung;Desain Grafis;160;84;50;Tidak Lulus;62;2025-06-29;2025-07-19;21;2025;June
PART-00168;Kairav Tarihoran, S.E.I;Pariwisata;40;99;59;Tidak Lulus;70;2025-08-31;2025-09-05;6;2025;August
PART-00169;Dinda Prabowo;Pertanian;160;96;80;Lulus;80;2024-04-08;2024-04-28;21;2024;April
PART-00170;Heru Nugroho;Pariwisata;120;96;59;Tidak Lulus;60;2024-11-16;2024-12-01;16;2024;November
PART-00171;Lamar Lailasari;Teknologi Informasi;160;86;58;Tidak Lulus;63;2024-02-25;2024-03-16;21;2024;February
PART-00172;Hardana Widiastuti, S.Ked;Kesehatan;200;81;96;Lulus;77;2024-06-25;2024-07-20;26;2024;June
PART-00173;Usyi Maulana;Pertanian;40;70;60;Tidak Lulus;69;2024-06-05;2024-06-10;6;2024;June
PART-00174;Enteng Prabowo;Teknologi Informasi;40;71;73;Tidak Lulus;72;2024-01-04;2024-01-09;6;2024;January
PART-00175;Jatmiko Fujiati;Desain Grafis;80;75;96;Tidak Lulus;69;2025-06-09;2025-06-19;11;2025;June
PART-00176;Cut Tiara Prabowo, M.M.;Desain Grafis;200;90;83;Lulus;81;2024-07-28;2024-08-22;26;2024;July
PART-00177;Melinda Rajasa;Pertanian;200;89;51;Tidak Lulus;69;2023-11-28;2023-12-23;26;2023;November
PART-00178;H. Irsad Samosir, M.TI.;Konstruksi;200;74;53;Tidak Lulus;67;2025-06-07;2025-07-02;26;2025;June
PART-00179;Ana Firgantoro;Teknologi Informasi;40;90;65;Tidak Lulus;58;2024-03-15;2024-03-20;6;2024;March
PART-00180;Rahman Siregar;Pertanian;80;76;98;Tidak Lulus;55;2024-08-02;2024-08-12;11;2024;August
PART-00181;Raisa Saragih;Kesehatan;240;81;86;Lulus;96;2024-11-08;2024-12-08;31;2024;November
PART-00182;Purwa Wacana;Pertanian;200;88;48;Tidak Lulus;63;2024-09-12;2024-10-07;26;2024;September
PART-00183;Karsa Utama;Konstruksi;160;82;52;Tidak Lulus;71;2025-10-31;2025-11-20;21;2025;October
PART-00184;Gangsa Hasanah;Pertanian;40;80;68;Tidak Lulus;53;2024-10-25;2024-10-30;6;2024;October
PART-00185;Mahesa Riyanti;Kesehatan;120;70;62;Tidak Lulus;64;2024-08-02;2024-08-17;16;2024;August
PART-00186;Agnes Hasanah;Teknologi Informasi;200;72;51;Tidak Lulus;74;2025-05-24;2025-06-18;26;2025;May
PART-00187;Lutfan Purnawati;Pariwisata;80;72;55;Tidak Lulus;58;2024-01-28;2024-02-07;11;2024;January
PART-00188;Dian Nurdiyanti, M.Farm;Tataboga;40;83;72;Lulus;83;2025-08-09;2025-08-14;6;2025;August
PART-00189;Karen Handayani;Konstruksi;120;99;80;Lulus;89;2025-02-22;2025-03-09;16;2025;February
PART-00190;drg. Restu Zulkarnain, S.Pd;Pariwisata;160;87;76;Lulus;86;2024-03-21;2024-04-10;21;2024;March
PART-00191;Muhammad Hastuti;Manufaktur;160;77;57;Tidak Lulus;66;2025-02-09;2025-03-01;21;2025;February
PART-00192;Mahdi Padmasari;Desain Grafis;80;83;65;Tidak Lulus;50;2024-02-03;2024-02-13;11;2024;February
PART-00193;Rahmi Lazuardi;Desain Grafis;200;85;53;Tidak Lulus;71;2024-11-04;2024-11-29;26;2024;November
PART-00194;Elvina Hutagalung, S.Kom;Kesehatan;160;87;74;Lulus;99;2023-11-10;2023-11-30;21;2023;November
PART-00195;Restu Pradipta;Kesehatan;160;97;64;Tidak Lulus;59;2024-12-21;2025-01-10;21;2024;December
PART-00196;Tugiman Nasyidah;Teknologi Informasi;120;84;73;Lulus;90;2025-08-10;2025-08-25;16;2025;August
PART-00197;Laras Samosir;Desain Grafis;40;100;50;Tidak Lulus;53;2023-12-11;2023-12-16;6;2023;December
PART-00198;Puti Nadine Lestari, S.Pd;Tataboga;40;78;78;Tidak Lulus;52;2025-04-08;2025-04-13;6;2025;April
PART-00199;Ophelia Padmasari;Desain Grafis;40;95;82;Lulus;82;2023-12-06;2023-12-11;6;2023;December
PART-00200;Catur Narpati;Manufaktur;40;91;66;Tidak Lulus;53;2024-03-11;2024-03-16;6;2024;March
PART-00201;Okto Narpati;Kesehatan;200;71;76;Tidak Lulus;58;2025-03-12;2025-04-06;26;2025;March
PART-00202;Wisnu Firmansyah;Manufaktur;120;98;96;Lulus;85;2025-08-20;2025-09-04;16;2025;August
PART-00203;Oliva Adriansyah;Pertanian;120;79;45;Tidak Lulus;74;2025-03-18;2025-04-02;16;2025;March
PART-00204;Leo Agustina;Teknologi Informasi;120;74;58;Tidak Lulus;66;2025-02-09;2025-02-24;16;2025;February
PART-00205;Sutan Artanto Aryani;Manufaktur;160;73;84;Tidak Lulus;62;2024-05-28;2024-06-17;21;2024;May
PART-00206;Gamblang Yulianti, S.Gz;Pariwisata;120;89;73;Lulus;95;2025-09-09;2025-09-24;16;2025;September
PART-00207;Puti Vera Novitasari;Pertanian;80;98;69;Tidak Lulus;55;2023-12-30;2024-01-09;11;2023;December
PART-00208;Ir. Jaka Mansur;Kesehatan;120;90;81;Lulus;93;2023-12-17;2024-01-01;16;2023;December
PART-00209;Usman Simanjuntak;Pertanian;160;81;76;Lulus;87;2024-09-06;2024-09-26;21;2024;September
PART-00210;Winda Widodo, M.Farm;Kesehatan;40;98;64;Tidak Lulus;73;2025-09-15;2025-09-20;6;2025;September
PART-00211;R. Balijan Sudiati;Konstruksi;120;87;100;Lulus;91;2024-11-23;2024-12-08;16;2024;November
PART-00212;Respati Dabukke;Pariwisata;80;91;55;Tidak Lulus;60;2025-01-20;2025-01-30;11;2025;January
PART-00213;Ir. Puti Nashiruddin;Pariwisata;240;79;62;Tidak Lulus;62;2025-10-08;2025-11-07;31;2025;October
PART-00214;dr. Dimaz Mulyani, S.T.;Pariwisata;120;86;88;Lulus;97;2024-12-20;2025-01-04;16;2024;December
PART-00215;Gading Hasanah;Pariwisata;40;89;77;Lulus;82;2024-03-29;2024-04-03;6;2024;March
PART-00216;Yessi Prasetyo;Konstruksi;40;75;82;Tidak Lulus;58;2025-08-24;2025-08-29;6;2025;August
PART-00217;Ganjaran Rajasa;Konstruksi;80;77;61;Tidak Lulus;65;2024-07-29;2024-08-08;11;2024;July
PART-00218;Dr. Nasrullah Pradipta, S.T.;Kesehatan;200;87;99;Lulus;94;2024-05-25;2024-06-19;26;2024;May
PART-00219;Syahrini Haryanto, M.TI.;Kesehatan;40;97;89;Lulus;75;2025-01-12;2025-01-17;6;2025;January
PART-00220;Arsipatra Nugroho;Manufaktur;120;92;73;Lulus;84;2024-01-26;2024-02-10;16;2024;January
PART-00221;Oliva Mulyani;Kesehatan;120;87;85;Lulus;88;2024-06-29;2024-07-14;16;2024;June
